,carat,cut,color,clarity,depth,table,price,x,y,z
9,0.22,Fair,E,VS2,65.1,61,337,3.87,3.78,2.49
92,0.86,Fair,E,SI2,55.1,69,2757,6.45,6.33,3.52
98,0.96,Fair,F,SI2,66.3,62,2759,6.27,5.95,4.07
124,0.7,Fair,F,VS2,64.5,57,2762,5.57,5.53,3.58
125,0.7,Fair,F,VS2,65.3,55,2762,5.63,5.58,3.66
129,0.91,Fair,H,SI2,64.4,57,2763,6.11,6.09,3.93
130,0.91,Fair,H,SI2,65.7,60,2763,6.03,5.99,3.95
205,0.98,Fair,H,SI2,67.9,60,2777,6.05,5.97,4.08
228,0.84,Fair,G,SI1,55.1,67,2782,6.39,6.2,3.47
242,1.01,Fair,E,I1,64.5,58,2788,6.29,6.21,4.03
256,1.05,Fair,J,SI2,65.8,59,2789,6.41,6.27,4.18
297,0.7,Fair,G,VVS1,58.8,66,2797,5.81,5.9,3.44
299,1.01,Fair,E,SI2,67.4,60,2797,6.19,6.05,4.13
315,0.76,Fair,G,VS1,59,70,2800,5.89,5.8,3.46
353,0.9,Fair,I,SI1,67.3,59,2804,5.93,5.84,3.96
357,0.57,Fair,E,VVS1,58.7,66,2805,5.34,5.43,3.16
360,0.74,Fair,F,VS2,61.1,68,2805,5.82,5.75,3.53
370,1,Fair,G,I1,66.4,59,2808,6.16,6.09,4.07
377,1.2,Fair,F,I1,64.6,56,2809,6.73,6.66,4.33
385,1,Fair,J,VS2,65.7,59,2811,6.14,6.07,4.01
386,0.99,Fair,I,SI2,68.1,56,2811,6.21,6.06,4.18
424,0.99,Fair,J,SI1,55,61,2812,6.72,6.67,3.68
440,0.9,Fair,J,VS2,65,56,2815,6.08,6.04,3.94
441,0.95,Fair,F,SI2,56,60,2815,6.62,6.53,3.68
444,0.96,Fair,E,SI2,53.1,63,2815,6.73,6.65,3.55
473,1,Fair,H,SI2,65.3,62,2818,6.34,6.12,4.08
515,0.9,Fair,H,SI2,65.8,54,2823,6.05,5.98,3.96
527,0.91,Fair,H,SI2,61.3,67,2825,6.24,6.19,3.81
582,0.9,Fair,G,SI2,65.3,59,2834,6.07,6,3.94
596,0.82,Fair,F,SI1,64.9,58,2838,5.83,5.79,3.77
636,0.95,Fair,G,SI1,66.7,56,2841,6.16,6.03,4.06
664,1.01,Fair,H,SI2,65.4,59,2846,6.3,6.26,4.11
677,0.75,Fair,D,SI2,64.6,57,2848,5.74,5.72,3.7
704,0.91,Fair,J,VS2,64.4,62,2854,6.06,6.03,3.89
705,0.91,Fair,J,VS2,65.4,60,2854,6.04,6,3.94
707,0.91,Fair,H,SI1,65.8,58,2854,6.04,6.01,3.96
713,0.98,Fair,E,SI2,53.3,67,2855,6.82,6.74,3.61
714,1.02,Fair,I,SI1,53,63,2856,6.84,6.77,3.66
715,1,Fair,G,SI2,67.8,61,2856,5.96,5.9,4.02
720,1,Fair,I,SI1,67.9,62,2856,6.19,6.03,4.15
751,1,Fair,H,SI2,66.1,56,2856,6.21,5.97,4.04
771,0.9,Fair,G,SI2,64.5,56,2858,6.06,6,3.89
772,0.71,Fair,D,VS2,56.9,65,2858,5.89,5.84,3.34
778,0.75,Fair,F,VS1,55.8,70,2859,6.09,5.98,3.37
789,0.62,Fair,F,IF,60.1,61,2861,5.53,5.56,3.33
802,1.01,Fair,E,SI2,67.6,57,2862,6.21,6.11,4.18
